client_id,birth_number,district_id,birth_year,birth_month,birth_day,gender,age,age_group,disp_id,account_id,num_dispo,card_id_x,card_type,issued,issue_year,issue_month,issue_day,lor_card,has_card_96,district_name,region,inhabitants,nmuni_5,nmuni_2k,nmuni_10k,nmuni_more_10k,ncities,ratio_urb_inhab,avg_sal,unemp_95,unemp_96,entrep,district_size,crime_rate_95,crime_rate_96,mean_amount,sum_amount,min_amount,max_amount,n_trans,rec_debit_m,rec_credit_m,rec_debit_d,rec_credit_d,credit_mean,debit_mean,debit_cash_mean,credit_sum,debit_sum,debit_cash_sum,others_sum,trans_household_sum,trans_insurance_sum,trans_interest_sum,trans_interest_cred_sum,trans_loan_sum,trans_others_sum,trans_pension_sum,trans_statement_sum,others_mean,trans_household_mean,trans_insurance_mean,trans_interest_mean,trans_interest_cred_mean,trans_loan_mean,trans_others_mean,trans_pension_mean,trans_statement_mean,balance,op_collect_other_bank_mean,op_credit_cash_mean,op_debit_card_mean,op_debit_cash_mean,op_remit_other_bank_mean,ntrans_banks,mean_amount_1,mean_amount_2,mean_amount_3,mean_amount_4,mean_amount_5,mean_amount_6,mean_amount_7,mean_amount_8,mean_amount_9,mean_amount_10,mean_amount_11,mean_amount_12,to_bank,frequency,open_year,open_month,open_day,lor,time_since_loan,loan_id,has_loan_97,card_issued_97
29,515911,30,1951,9,11,F,45,3,29,23,0.0,,,,,,,,0,Sokolov,west Bohemia,94812,15,13,8,2,10,0.818,9650,0.0338,0.036699999999999997,100,Medium,31.4833565371472,29.574315487491035,8453.871428571425,591770.9999999998,14.6,40480.0,70.0,0.0,0.0,0.0,0.0,12026.072,6469.315555555555,0.0,300651.8,291119.19999999995,0.0,519204.0,69684.0,0.0,0.0,2707.8,0.0,0.0,0.0,175.19999999999996,15270.70588235294,5807.0,0.0,0.0,225.65,0.0,0.0,0.0,14.599999999999996,49748.799999999996,0.0,22918.76923076923,0.0,6710.157575757577,5807.0,12.0,8694.742857142857,6950.733333333334,6987.4,7838.95,8408.119999999999,13400.885714285716,6790.333333333333,7644.233333333334,8506.84,8428.92,8029.033333333333,8654.25,1.0,monthly,1993,5,22,3,,,0,0
32,800728,52,1980,7,28,M,16,1,32,26,0.0,,,,,,,,0,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,0.619,8363,0.0252,0.0349,108,Medium,18.444450838776508,20.134952378211953,9792.593939393939,646311.2,14.6,37203.0,66.0,0.0,0.0,0.0,0.0,13499.208333333334,7485.479999999999,11455.5,323981.0,299419.19999999995,22911.0,519937.0,124644.0,0.0,0.0,1555.0000000000002,0.0,0.0,0.0,175.19999999999996,17331.233333333334,10387.0,0.0,0.0,129.58333333333334,0.0,0.0,0.0,14.599999999999996,28351.26363636363,26868.833333333332,0.0,0.0,6589.540000000002,10387.0,24.0,9154.333333333334,9445.18,9291.166666666666,7918.233333333334,9923.6,13069.52,9891.2,9731.380000000001,10051.7,8617.371428571429,8251.05,13547.6,1.0,monthly,1993,8,8,3,,,0,0
33,486204,73,1948,12,4,F,48,3,33,27,0.0,,,,,,,,0,Opava,north Moravia,182027,17,49,12,2,7,0.564,8746,0.0333,0.0374,90,Large,23.925022112104248,24.353529970828504,3376.060000000001,236324.20000000007,14.6,12940.0,70.0,0.0,0.0,0.0,0.0,4556.040000000001,2720.5155555555566,0.0,113901.00000000001,122423.20000000004,0.0,186550.0,48648.0,0.0,0.0,951.0,0.0,0.0,0.0,175.19999999999996,5486.764705882353,4054.0,0.0,0.0,79.25,0.0,0.0,0.0,14.599999999999996,19215.452857142875,0.0,8688.461538461539,0.0,2235.6121212121207,4054.0,12.0,2574.7999999999997,2816.1,3247.6666666666665,3734.8799999999997,3360.85,4576.74,4112.879999999999,3172.68,3532.8,3293.2599999999998,2795.44,4266.933333333333,1.0,monthly,1993,9,26,3,,,0,0
36,785717,7,1978,7,17,F,18,1,36,29,1.0,,,,,,,,0,Melnik,central Bohemia,94725,38,28,1,3,6,0.634,9920,0.0226,0.0287,130,Medium,45.27843758247559,51.158617049353396,4898.784374999998,470283.2999999999,8.0,26667.0,96.0,0.0,0.0,0.0,0.0,9696.3375,3299.6000000000004,0.0,232712.09999999998,237571.20000000004,0.0,376014.0,82452.0,96.0,0.0,1598.1,0.0,9948.0,0.0,175.19999999999996,10444.833333333334,6871.0,8.0,0.0,133.17499999999998,0.0,829.0,0.0,14.599999999999996,33114.66354166669,0.0,19259.5,0.0,4029.8666666666677,2569.3333333333335,36.0,3177.3384615384616,4361.671428571428,4692.871428571429,5170.9375,4805.285714285715,7264.65,4661.2,5090.5428571428565,5118.9857142857145,5104.685714285713,4477.9,5816.155555555556,1.0,monthly,1994,11,24,2,,,0,0
38,735723,36,1973,7,23,F,23,1,38,30,0.0,,,,,,,,0,Liberec,north Bohemia,159617,29,19,8,1,9,0.852,9198,0.0333,0.042800000000000005,131,Large,36.31192166247956,38.416960599434894,13260.343749999998,848661.9999999999,14.6,58100.0,64.0,0.0,0.0,0.0,0.0,17204.116666666665,10334.564705882352,14064.666666666666,412898.8,351375.19999999995,84388.0,846245.0,0.0,0.0,0.0,2241.8,0.0,0.0,0.0,175.19999999999996,21156.125,0.0,0.0,0.0,186.8166666666667,0.0,0.0,0.0,14.599999999999996,51693.339062499996,0.0,34221.416666666664,0.0,10894.079999999998,0.0,0.0,6062.79,101.16666666666667,11575.225,3287.35,11346.85,14216.700000000003,13536.449999999999,24735.780000000002,11161.6375,7790.599999999999,25647.649999999998,21888.17142857143,0.0,monthly,1995,3,4,1,,,0,0
39,680125,68,1968,1,25,M,28,1,39,31,0.0,,,,,,,,0,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,0.5720000000000001,9893,0.0409,0.0472,96,Large,24.570894217996223,25.724498356988047,13329.49677419355,1239643.2000000002,14.6,49400.0,93.0,0.0,0.0,0.0,0.0,15537.48717948718,11002.254545454542,14958.2,605962.0,484099.19999999984,149582.0,1114074.0,122424.0,0.0,0.0,2970.0,0.0,0.0,0.0,175.19999999999996,19545.157894736843,10202.0,0.0,0.0,247.5,0.0,0.0,0.0,14.599999999999996,62399.310752688216,0.0,22333.037037037036,0.0,12172.790476190472,10202.0,12.0,12957.477777777778,15604.509090909092,12503.212500000001,15643.933333333334,16100.85,6862.442857142857,13797.300000000001,6860.459999999999,9720.585714285715,18200.8875,17510.0,7246.44,1.0,monthly,1994,4,27,2,,,0,0
40,575122,5,1957,1,22,F,39,2,40,32,0.0,,,,,,,,0,Kolin,central Bohemia,95616,65,30,4,1,6,0.514,9307,0.0385,0.0443,118,Medium,27.359437751004016,31.79384203480589,8280.617307692308,430592.1,14.6,24822.0,52.0,0.0,0.0,0.0,0.0,9063.204166666668,7609.828571428573,0.0,217516.90000000002,213075.20000000004,0.0,428024.0,0.0,0.0,0.0,2392.9,0.0,0.0,0.0,175.19999999999996,15286.57142857143,0.0,0.0,0.0,199.40833333333333,0.0,0.0,0.0,14.599999999999996,50894.55384615385,0.0,17927.0,0.0,7609.828571428573,0.0,0.0,7553.280000000001,8035.4,8586.275,8510.425,7685.674999999999,10170.439999999999,7787.65,6675.7,7715.4,7743.15,8844.15,9792.5,0.0,monthly,1995,8,28,1,,,0,0
41,680827,22,1968,8,27,M,28,1,41,33,0.0,3.0,gold,950903 00:00:00,1995.0,9.0,0.0,1.0,1,Domazlice,west Bohemia,58400,65,16,4,1,6,0.524,8620,0.011000000000000001,0.0125,100,Small,18.647260273972602,19.126712328767123,8797.083333333332,580607.4999999999,14.6,35384.0,66.0,0.0,0.0,0.0,0.0,12926.179166666667,6437.6,0.0,310228.3,270379.2,0.0,530158.0,46704.0,0.0,0.0,3570.3,0.0,0.0,0.0,175.19999999999996,17671.933333333334,3892.0,0.0,0.0,297.52500000000003,0.0,0.0,0.0,14.599999999999996,71387.9121212121,0.0,25554.833333333332,2014.2857142857142,9111.965217391305,3892.0,12.0,9474.24,9414.259999999998,9574.8,7961.849999999999,10132.56,10878.216666666665,9576.06,9515.56,7010.314285714286,8645.82,5555.233333333334,8916.166666666666,1.0,monthly,1993,8,26,3,,,0,0
42,350817,68,1935,8,17,M,61,4,42,34,0.0,,,,,,,,0,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,0.5720000000000001,9893,0.0409,0.0472,96,Large,24.570894217996223,25.724498356988047,10572.52168674699,877519.3000000002,30.0,47768.0,83.0,0.0,0.0,0.0,0.0,17372.59583333333,7057.851851851852,15890.6,416942.29999999993,381124.0,79453.0,795339.0,6024.0,0.0,0.0,2956.3,0.0,72840.0,0.0,360.0,22723.97142857143,502.0,0.0,0.0,246.35833333333335,0.0,6070.0,0.0,30.0,54087.061445783176,34498.833333333336,0.0,0.0,10906.085714285715,3286.0,36.0,14044.07142857143,9198.85,9568.15,9875.42857142857,9818.65,13568.8625,10487.4,8611.0,9967.883333333333,10299.055555555555,9205.371428571429,11000.475,1.0,weekly,1993,9,17,3,,,0,0
43,201028,75,1920,10,28,M,76,5,43,35,0.0,,,,,,,,0,Prerov,north Moravia,138032,67,30,4,2,5,0.6459999999999999,8819,0.0538,0.056600000000000004,99,Medium,29.435203431088443,32.637359452880496,1773.0986842105267,134755.50000000003,14.6,5446.0,76.0,0.0,0.0,0.0,0.0,2754.6791666666663,1320.061538461538,0.0,66112.29999999999,68643.19999999998,0.0,39860.0,12264.0,0.0,0.0,760.3000000000001,0.0,16344.0,65352.0,175.19999999999996,2491.25,1022.0,0.0,0.0,63.35833333333334,0.0,1362.0,5446.0,14.599999999999996,16311.934210526319,5446.0,0.0,0.0,1429.828571428571,1192.0,36.0,1767.0222222222224,1667.8999999999999,1934.95,1934.5,1983.966666666667,1700.3666666666668,1238.1571428571428,2026.5857142857144,1581.0400000000002,1569.25,2052.8,1838.5833333333333,1.0,monthly,1993,7,7,3,,,0,0
44,775111,38,1977,1,11,F,19,1,44,36,0.0,,,,,,,,0,Louny,north Bohemia,85852,41,23,4,2,4,0.598,8965,0.0708,0.0823,104,Small,30.902017425336627,32.870521362344505,7366.906849315066,537784.1999999998,14.6,29778.0,73.0,0.0,0.0,0.0,0.0,10833.375,5669.044897959184,0.0,260001.0,277783.2,0.0,486856.0,48828.0,0.0,0.0,1925.0,0.0,0.0,0.0,175.19999999999996,13158.27027027027,4069.0,0.0,0.0,160.41666666666666,0.0,0.0,0.0,14.599999999999996,40213.91643835613,0.0,21506.333333333332,0.0,6187.97837837838,4069.0,12.0,5618.458333333333,5772.1,7458.08,7498.7,8220.32,10869.939999999999,8542.74,6710.366666666666,8438.6,7558.88,7478.466666666666,7048.1,1.0,monthly,1993,7,1,3,,,0,0
47,340714,76,1934,7,14,M,62,4,47,39,0.0,,,,,,,,0,Sumperk,north Moravia,127369,31,32,13,2,7,0.512,8369,0.0473,0.0588,107,Medium,29.332098077240147,22.03832957784076,2003.3946666666675,150254.60000000006,14.6,6474.0,75.0,0.0,0.0,0.0,0.0,3289.1416666666664,1398.3372549019607,0.0,78939.4,71315.2,0.0,33760.0,1740.0,0.0,0.0,1251.4,0.0,35640.0,77688.0,175.19999999999996,2250.6666666666665,145.0,0.0,0.0,104.28333333333335,0.0,2970.0,6474.0,14.599999999999996,26122.557333333327,6474.0,0.0,0.0,1256.8592592592588,1557.5,36.0,1891.154545454545,1851.8000000000002,1936.42,1939.2400000000002,1942.1200000000001,2294.866666666667,1820.1499999999999,2186.866666666667,2054.1,2569.55,2036.7833333333335,1639.757142857143,1.0,monthly,1993,9,22,3,,,0,0
48,400209,16,1940,2,9,M,56,3,48,40,0.0,,,,,,,,0,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,0.569,8427,0.011200000000000002,0.0154,107,Medium,19.950814959917388,20.366013350225163,2439.6851351351356,180536.70000000004,14.6,10200.0,74.0,0.0,0.0,0.0,0.0,3552.2291666666665,1905.6640000000002,0.0,85253.5,95283.20000000001,0.0,127626.0,396.0,0.0,0.0,727.5000000000001,0.0,51612.0,0.0,175.19999999999996,4908.692307692308,33.0,0.0,0.0,60.62500000000001,0.0,4301.0,0.0,14.599999999999996,16437.144594594592,0.0,7043.833333333333,0.0,1664.4307692307689,2167.0,24.0,1881.1599999999999,1984.966666666667,2019.0500000000002,1988.2833333333335,2205.233333333333,3212.316666666666,2743.3857142857137,2180.46,2182.3,2833.6166666666663,2180.86,4057.0833333333335,1.0,monthly,1993,10,25,3,,,0,0
51,796202,36,1979,12,2,F,17,1,51,43,0.0,5.0,junior,950424 00:00:00,1995.0,4.0,0.0,1.0,1,Liberec,north Bohemia,159617,29,19,8,1,9,0.852,9198,0.0333,0.042800000000000005,131,Large,36.31192166247956,38.416960599434894,8528.086842105262,648134.5999999999,14.6,35862.0,76.0,0.0,0.0,0.0,0.0,13073.808333333332,6430.061538461538,0.0,313771.39999999997,334363.19999999995,0.0,565924.0,79068.0,0.0,0.0,2967.4,0.0,0.0,0.0,175.19999999999996,14148.1,6589.0,0.0,0.0,247.28333333333333,0.0,0.0,0.0,14.599999999999996,57126.8815789474,0.0,25900.333333333332,2084.6153846153848,8451.674074074075,6589.0,12.0,5677.316666666667,6321.614285714285,8653.02,9234.939999999999,7846.942857142857,14862.933333333334,7987.716666666666,8489.34,9133.8,8495.666666666666,7941.183333333333,11257.733333333335,1.0,monthly,1994,6,12,2,,,0,0
52,241212,32,1924,12,12,M,72,4,52,44,0.0,,,,,,,,0,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,0.81,9272,0.027999999999999997,0.0322,118,Medium,41.310514192160525,42.88107521559519,1677.238888888889,90570.90000000001,14.6,5600.0,54.0,0.0,0.0,0.0,0.0,2138.2374999999997,1308.4399999999996,0.0,51317.7,39253.19999999999,0.0,10950.0,28128.0,0.0,0.0,917.6999999999999,0.0,0.0,50400.0,175.19999999999996,1825.0,2344.0,0.0,0.0,76.475,0.0,0.0,4200.0,14.599999999999996,19119.805555555555,4200.0,0.0,0.0,618.0666666666668,2344.0,24.0,1288.7714285714285,1655.6000000000001,2445.02,1653.7250000000001,1655.7250000000001,1804.6799999999998,1657.1750000000002,1659.15,1661.125,1663.15,1665.125,1443.5800000000002,1.0,monthly,1993,5,10,3,,,0,0
55,485918,45,1948,9,18,F,48,3,55,47,0.0,,,,,,,,0,Jicin,east Bohemia,77917,85,19,6,1,5,0.535,8390,0.022799999999999997,0.028900000000000002,132,Small,26.695072962254706,27.23410808937716,8541.025,922430.7,9.0,52886.0,108.0,0.0,0.0,0.0,0.0,19189.479166666664,5486.062650602408,6540.0,460547.49999999994,455343.1999999999,6540.0,832882.0,83280.0,1692.0,0.0,2205.5,0.0,2196.0,0.0,175.19999999999996,23135.61111111111,6940.0,141.0,0.0,183.79166666666666,0.0,91.5,0.0,14.599999999999996,44775.01388888887,38195.166666666664,0.0,0.0,10408.755555555554,1816.0,60.0,7338.569230769232,6819.433333333333,7546.055555555556,8452.8875,7484.63,11659.766666666668,8789.587500000001,8240.1375,8492.075,9080.112500000001,9041.425000000001,10118.59,1.0,monthly,1993,8,8,3,,,0,0
59,570218,1,1957,2,18,M,39,2,59,50,0.0,,,,,,,,0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,1.0,12541,0.0029,0.0043,167,Large,71.10401816502386,82.24968110789384,5059.277906976742,435097.89999999985,14.6,24195.0,86.0,0.0,0.0,0.0,0.0,8544.268,3631.0032786885254,0.0,213606.69999999998,221491.20000000004,0.0,345790.0,3228.0,0.0,0.0,1616.6999999999998,0.0,84288.0,0.0,175.19999999999996,9099.736842105263,269.0,0.0,0.0,134.725,0.0,7024.0,0.0,14.599999999999996,30857.57093023258,0.0,16306.923076923076,0.0,3620.9513513513525,3646.5,24.0,3327.4785714285713,4179.2,5027.866666666666,5262.5,4368.057142857143,8219.485714285714,4612.0,4912.0,5779.066666666667,5244.866666666666,5778.033333333333,5817.0,1.0,monthly,1994,5,6,2,,,0,0
62,321208,77,1932,12,8,M,64,4,62,53,0.0,,,,,,,,0,Vsetin,north Moravia,148545,8,35,12,3,4,0.535,8909,0.0401,0.0556,113,Large,23.292604934531624,24.16776061126258,1792.9358490566042,95025.60000000002,14.6,4277.0,53.0,0.0,0.0,0.0,0.0,2175.766666666667,1476.1103448275858,0.0,52218.40000000001,42807.19999999999,0.0,8420.0,34212.0,0.0,0.0,894.4000000000001,0.0,0.0,51324.0,175.19999999999996,1684.0,2851.0,0.0,0.0,74.53333333333335,0.0,0.0,4277.0,14.599999999999996,18748.173584905653,4277.0,0.0,0.0,505.60000000000014,2851.0,24.0,1626.45,1800.2,1801.75,1803.275,1804.825,2053.75,1802.6000000000001,1804.125,1805.6750000000002,1807.2250000000001,1808.775,1598.1200000000001,1.0,monthly,1995,6,7,1,,,0,0
63,590604,4,1959,6,4,M,37,2,63,54,0.0,,,,,,,,0,Kladno,central Bohemia,149893,63,29,6,2,6,0.674,9753,0.0464,0.050499999999999996,109,Large,34.9849559352338,39.30803973501097,1406.5725806451615,87207.50000000001,14.6,8070.0,62.0,0.0,0.0,0.0,0.0,1743.8458333333335,1193.557894736842,0.0,41852.3,45355.19999999999,0.0,58872.0,27360.0,0.0,0.0,800.3,0.0,0.0,0.0,175.19999999999996,2264.3076923076924,2280.0,0.0,0.0,66.69166666666666,0.0,0.0,0.0,14.599999999999996,15993.608064516124,3421.0,0.0,0.0,692.123076923077,2280.0,24.0,883.4636363636364,1397.44,1447.4250000000002,1338.42,1249.0400000000002,2769.52,1442.625,1442.375,1445.025,1341.64,1449.3,1330.56,1.0,monthly,1995,5,2,1,,,0,0
